"";"DatasetNr";"ItSeqNumber";"ItemTypeNr";"MCKey";"MaxScor";"Weight";"Calamity";"AltLabels";"nAlt"
"1";17209;1;1;"";"12";"1.0";"0";NA;NA
"2";17209;2;1;"";"6";"1.0";"0";NA;NA
"3";17209;3;1;"";"2";"1.0";"0";NA;NA
"4";17209;4;1;"";"3";"1.0";"0";NA;NA
"5";17209;5;1;"";"1";"1.0";"0";NA;NA
"6";17209;6;1;"";"2";"1.0";"0";NA;NA
"7";17209;7;1;"";"3";"1.0";"0";NA;NA
"8";17209;8;1;"";"4";"1.0";"0";NA;NA
"9";17209;9;1;"";"1";"1.0";"0";NA;NA
"10";17209;10;1;"";"1";"1.0";"0";NA;NA
"11";17209;11;1;"";"2";"1.0";"0";NA;NA
"12";17209;12;1;"";"2";"1.0";"0";NA;NA
"13";17209;13;1;"";"4";"1.0";"0";NA;NA
"14";17209;14;1;"";"15";"1.0";"0";NA;NA
"15";17209;15;1;"";"1";"1.0";"0";NA;NA
"16";17209;16;1;"";"1";"1.0";"0";NA;NA
"17";17209;17;1;"";"1";"1.0";"0";NA;NA
"18";17209;18;1;"";"1";"1.0";"0";NA;NA
"19";17209;19;1;"";"1";"1.0";"0";NA;NA
"20";17209;20;1;"";"2";"1.0";"0";NA;NA
"21";17209;21;1;"";"2";"1.0";"0";NA;NA
"22";17209;22;1;"";"1";"1.0";"0";NA;NA
"23";17209;23;1;"";"2";"1.0";"0";NA;NA
"24";17209;24;1;"";"2";"1.0";"0";NA;NA
"25";17209;25;1;"";"1";"1.0";"0";NA;NA
"26";17209;26;1;"";"1";"1.0";"0";NA;NA
"27";17209;27;1;"";"1";"1.0";"0";NA;NA
"28";17209;28;1;"";"3";"1.0";"0";NA;NA
"29";17209;29;1;"";"2";"1.0";"0";NA;NA
"30";17209;30;1;"";"4";"1.0";"0";NA;NA
"31";17209;31;1;"";"2";"1.0";"0";NA;NA
"32";17209;32;1;"";"1";"1.0";"0";NA;NA
"33";17209;33;1;"";"3";"1.0";"0";NA;NA
"34";17209;34;1;"";"2";"1.0";"0";NA;NA
"35";17209;35;1;"";"1";"1.0";"0";NA;NA
"36";17209;36;1;"";"15";"1.0";"0";NA;NA
"37";17209;37;1;"";"4";"1.0";"0";NA;NA
"38";17210;1;1;"";"14";"1.0";"0";NA;NA
"39";17210;2;1;"";"4";"1.0";"0";NA;NA
"40";17210;3;1;"";"4";"1.0";"0";NA;NA
"41";17210;4;1;"";"2";"1.0";"0";NA;NA
"42";17210;5;1;"";"1";"1.0";"0";NA;NA
"43";17210;6;1;"";"3";"1.0";"0";NA;NA
"44";17210;7;1;"";"1";"1.0";"0";NA;NA
"45";17210;8;1;"";"2";"1.0";"0";NA;NA
"46";17210;9;1;"";"2";"1.0";"0";NA;NA
"47";17210;10;1;"";"4";"1.0";"0";NA;NA
"48";17210;11;1;"";"15";"1.0";"0";NA;NA
"49";17210;12;1;"";"3";"1.0";"0";NA;NA
"50";17210;13;1;"";"3";"1.0";"0";NA;NA
"51";17210;14;1;"";"1";"1.0";"0";NA;NA
"52";17210;15;1;"";"4";"1.0";"0";NA;NA
"53";17210;16;1;"";"15";"1.0";"0";NA;NA
"54";17210;17;1;"";"1";"1.0";"0";NA;NA
"55";17210;18;1;"";"1";"1.0";"0";NA;NA
"56";17210;19;1;"";"1";"1.0";"0";NA;NA
"57";17210;20;1;"";"1";"1.0";"0";NA;NA
"58";17210;21;1;"";"2";"1.0";"0";NA;NA
"59";17210;22;1;"";"2";"1.0";"0";NA;NA
"60";17210;23;1;"";"1";"1.0";"0";NA;NA
"61";17210;24;1;"";"2";"1.0";"0";NA;NA
"62";17210;25;1;"";"2";"1.0";"0";NA;NA
"63";17210;26;1;"";"1";"1.0";"0";NA;NA
"64";17210;27;1;"";"1";"1.0";"0";NA;NA
"65";17210;28;1;"";"3";"1.0";"0";NA;NA
"66";17210;29;1;"";"2";"1.0";"0";NA;NA
